candidate_index,bbox_id,classification,current_full_physical_gate,visual_event_gate,metric_repeatability_gate,physical_plane_gate,left_contour_status,right_contour_status,left_legacy_spread_m,right_legacy_spread_m,public_image,classification_rationale
1,48389,VISUAL_EVENT_PASS,REJECTED,PASS,NOT_EVALUATED,PASS,PASS,PASS,0.06638122118186604,1.4906289490322477,docs/assets/act0_screening/candidate_01_screening.jpg,"Both exterior transitions persist across three views; strict plane gate passes, while RIGHT legacy spread is not used by Tier V."
6,48397,INSTANCE_GROUPING_UNRESOLVED,REJECTED,NOT_OBSERVED,NOT_EVALUATED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,,,docs/assets/act0_screening/candidate_06_screening.jpg,Candidate IDs change from 39220 to 35115/35117 and no single target instance survives all three views.
7,48399,VISUAL_EVENT_PASS,REJECTED,PASS,NOT_EVALUATED,PASS,PASS,PASS,0.2815781547744667,0.05255082370553765,docs/assets/act0_screening/candidate_07_screening.jpg,Selected instance 39225 and its bilateral exterior transitions persist; neighboring stable IDs are recorded but not merged.
8,48401,VISUAL_EVENT_PASS,REJECTED,PASS,NOT_EVALUATED,PASS,PASS,PASS,0.036276709151177984,0.02905144793931193,docs/assets/act0_screening/candidate_08_screening.jpg,Selected instance 39226 has stable bilateral transitions and the strict physical-plane gate passes.
10,48418,PHYSICAL_PLANE_ONLY_FAIL,REJECTED,PASS,NOT_EVALUATED,FAIL,PASS,PASS,0.010275994167849712,0.010427806849840246,docs/assets/act0_screening/candidate_10_screening.jpg,"Visual contours and selected instance are stable, but raycast/depth agreement is zero."
11,48436,PHYSICAL_PLANE_ONLY_FAIL,REJECTED,PASS,NOT_EVALUATED,FAIL,PASS,PASS,0.01245423172265513,0.01245423172265513,docs/assets/act0_screening/candidate_11_screening.jpg,"Selected instance 39766 has stable contours, but plane inlier ratio and raycast/depth agreement fail Tier P."
12,48420,SCOUT_POSE_INSUFFICIENT,REJECTED,NOT_OBSERVED,NOT_EVALUATED,FAIL,FAIL,FAIL,6.250972187756512,1.1003767228415715,docs/assets/act0_screening/candidate_12_screening.jpg,Only the right termination is visible in the center image and contour span changes 0.002/0.662/0.083 across offsets.
13,48419,INSTANCE_GROUPING_UNRESOLVED,REJECTED,NOT_OBSERVED,NOT_EVALUATED,FAIL,PASS,PASS,1.94155406286042,1.7702547423745145,docs/assets/act0_screening/candidate_13_screening.jpg,Eight stable candidate IDs occupy the scout crop; the retained compact evidence cannot prove which meshes form one facade.
17,48391,SCENE_UNSUITABLE,REJECTED,FAIL,NOT_EVALUATED,FAIL,PASS,PASS,0.7302478769162811,0.6284391074469413,docs/assets/act0_screening/candidate_17_screening.jpg,Target mask fragmentation and visible fire-escape/foreground structure prevent a clean facade event.
18,48393,SCENE_UNSUITABLE,REJECTED,FAIL,NOT_EVALUATED,FAIL,PASS,PASS,0.8226443342848707,0.700464488577048,docs/assets/act0_screening/candidate_18_screening.jpg,Target mask fragmentation and visible fire-escape/foreground structure prevent a clean facade event.
19,48395,PHYSICAL_PLANE_ONLY_FAIL,REJECTED,PASS,NOT_EVALUATED,FAIL,PASS,PASS,0.9375143075920562,0.061313872121497005,docs/assets/act0_screening/candidate_19_screening.jpg,"Selected instance and exterior contours persist, but plane inlier ratio and raycast/depth agreement fail Tier P."
20,47839,SCOUT_POSE_INSUFFICIENT,REJECTED,NOT_OBSERVED,NOT_EVALUATED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,,,docs/assets/act0_screening/candidate_20_screening.jpg,The persisted center RGB faces a blank near wall and no target instance remains stable across the three offsets.
